video no,time_process(milli),Gavam(1)/Clm(2),face_displacement_X_Axis,face_displacement_Y_Axis,face_displacement_Z_Axis,face_Angular_displacement_X_Axis,face_Angular_displacement_Y_Axis,face_Angular_displacement_Z_Axis,confidence,polarity
1,1092.14363708,0.0,6.55235705564,4.44463145506,6.48900658942,0.0356906426162,0.0522534166039,0.0339148123683,0.623354202147,0.0
1,582.141510491,0.0,5.07157945065,3.26995067875,6.81808243921,0.0308758372615,0.0403595894672,0.0252427712273,0.561098091112,0.0
1,1294.21791348,0.0,15.9293285573,9.68183836889,12.4005820549,0.0700726400502,0.0675407690828,0.11410447831,1.72858153897,0.0
1,668.747317458,0.0,17.8568917599,8.39190054423,8.33805152882,0.0388661983351,0.059012618782,0.0618637450693,1.09881540061,1.0
1,1053.65308122,0.0,10.8789208212,5.18033299629,11.695945339,0.0415175005564,0.0845686276841,0.0268270507771,2.8163842445,1.0
1,360.811329625,0.0,14.5689561091,4.88858223036,11.5342565145,0.0229616282867,0.0692258794003,0.0256709921351,1.06042694652,0.0
2,678.369540278,0.0,6.16562467373,2.34154799221,2.59240637635,0.031042071272,0.059746464071,0.0522407948987,0.200875255677,0.0
2,1784.96811904,0.354010097647,12.6236817176,31.5120977383,37.6311014016,0.0854774913504,0.0979946713147,0.0408132039019,73.5057077218,0.0
2,389.681826537,0.303821810125,9.03280802104,24.4392984685,32.9138145622,0.129471550422,0.0863842543366,0.0273304661259,303.821808302,-1.0
2,466.667432371,0.0,4.79018358007,10.3198095025,16.4494541067,0.128827693413,0.022904439667,0.0159132713856,1.32663436941e-13,0.0
2,1303.84076751,0.0,14.8072557917,13.5907651788,24.6139613596,0.125443959031,0.105063258583,0.0733791406006,3.14273502438e-13,1.0
2,457.044486466,0.0,8.59324180283,11.2536466312,10.2731017961,0.0547947992697,0.0517804067197,0.07835090865,9.48213774141e-14,0.0
2,303.071927656,0.0,12.946748083,8.32543451467,7.13384219222,0.0653607376977,0.0788529891406,0.0779798183515,1.66050254697e-13,1.0
2,2737.59843497,0.0,8.71048070946,8.55028326116,8.4964776381,0.0616418470967,0.0945807880344,0.0621673959405,4.45821913984e-13,1.0
2,1140.25695642,0.0,10.8613941567,6.82741292513,6.87908278365,0.0550468860555,0.0652524510455,0.0441904700856,3.03164900591e-13,-1.0
2,1101.76659821,0.0,5.14662192966,6.18833414395,8.30893309233,0.0536056730761,0.0815222372086,0.0570049097923,2.96381829645e-13,0.0
2,1082.52089228,0.0,10.567401922,8.488826838,6.1399710555,0.0496748989735,0.0144671970798,0.0416025584374,2.99040015862e-13,1.0
3,697.61502022,0.0,3.03216152339,1.00761441876,5.07277050853,0.0108826286037,0.0223135146448,0.00699023737184,0.266627183348,-1.0
3,745.728551892,0.0,4.85077472449,1.79200246062,7.6897798656,0.0242304336904,0.0239353903024,0.00856900789675,0.365275481053,-1.0
3,2824.20102028,0.0,9.17156229911,4.52902571226,12.2175639027,0.0576837530254,0.0569164324518,0.0477906337679,0.598355259877,-1.0
3,3824.94245912,0.0,5.36835812773,7.32966870263,13.6661628996,0.0697879266135,0.0844082529109,0.0434006793558,0.494689043422,-1.0
3,880.445805014,0.0,6.13554615829,3.33508482296,17.8750942762,0.066120739444,0.0952230196477,0.0234418440795,0.996577730624,-1.0
4,254.950967835,0.0,1.77378114187,3.25843525444,10.6770908239,0.0308796540627,0.00822609620187,0.00810842654472,0.350302188242,-1.0
4,591.764520866,0.0,14.8102438313,29.3766675818,93.8482343188,0.0590819229991,0.0476765010548,0.021811339157,16.2607717082,-1.0
4,1274.97279587,0.467544859556,46.3508544118,14.1039678845,48.0977634734,0.140999852478,0.442186322173,0.113530334298,22.1933161541,-1.0
4,2352.69753951,0.407441903932,25.5058406009,19.4787454183,81.5678717499,0.0595967385663,0.157835097085,0.103686526822,126.222918627,-1.0
